company,period,metric,value,unit,source_url
HKEX,2025-Q4,stock_settlement_fee_listed_rate_per_side,0.0042,pct_of_gross_value,https://www.hkex.com.hk/-/media/HKEX-Market/Services/Rules-and-Forms-and-Fees/Rules/HKSCC/Operational-Procedures/SEC21.pdf
HKEX,2025-Q4,stock_settlement_fee_max_per_trade,0,HKD_none,https://www.hkex.com.hk/-/media/HKEX-Market/Services/Rules-and-Forms-and-Fees/Rules/HKSCC/Operational-Procedures/SEC21.pdf
HKEX,2025-Q4,stock_settlement_fee_min_per_trade,0,HKD_none,https://www.hkex.com.hk/-/media/HKEX-Market/Services/Rules-and-Forms-and-Fees/Rules/HKSCC/Operational-Procedures/SEC21.pdf
HKEX,2025-Q4,trading_days,61,days,https://www.hkex.com.hk/-/media/HKEX-Market/News/News-Release/2026/260226news/260226news_eng.pdf
HKEX,2025-Q4,trading_fee_effective_rate_both_sides,0.009709,pct_of_turnover,https://www.hkex.com.hk/-/media/HKEX-Market/News/News-Release/2026/260226news/260226news_eng.pdf
HKEX,2025-Q4,trading_fee_effective_rate_per_side,0.004855,pct_of_consideration,https://www.hkex.com.hk/-/media/HKEX-Market/News/News-Release/2026/260226news/260226news_eng.pdf
HKEX,2025-Q4,trading_fee_listed_rate_per_side,0.00565,pct_of_consideration,https://www.hkex.com.hk/Services/Rules-and-Forms-and-Fees/Fees/Securities-(Hong-Kong)/Trading/Transaction?sc_lang=en
HKEX,2025-Q4,trading_tariff_per_side,0.0,HKD_per_side_per_trade,https://www.hkex.com.hk/Services/Rules-and-Forms-and-Fees/Fees/Securities-(Hong-Kong)/Trading/Transaction?sc_lang=en
HKEX,2026-Q1,adt_equity_products,255.3,HKD_bn,https://www.hkex.com.hk/-/media/HKEX-Market/News/News-Release/2026/260429news/260429news_e.pdf
HKEX,2026-Q1,cash_seg_clearing_fee_revenue,985,HKD_mn,https://www.hkex.com.hk/-/media/HKEX-Market/News/News-Release/2026/260429news/260429news_e.pdf
HKEX,2026-Q1,cash_seg_si_fee_revenue,184,HKD_mn,https://www.hkex.com.hk/-/media/HKEX-Market/News/News-Release/2026/260429news/260429news_e.pdf
HKEX,2026-Q1,cash_seg_trading_fee_revenue,1484,HKD_mn,https://www.hkex.com.hk/-/media/HKEX-Market/News/News-Release/2026/260429news/260429news_e.pdf
HKEX,2026-Q1,clearing_fee_effective_rate_both_sides,0.00643,pct_of_turnover,https://www.hkex.com.hk/-/media/HKEX-Market/News/News-Release/2026/260429news/260429news_e.pdf
HKEX,2026-Q1,clearing_fee_effective_rate_per_side,0.003215,pct_of_gross_value,https://www.hkex.com.hk/-/media/HKEX-Market/News/News-Release/2026/260429news/260429news_e.pdf
HKEX,2026-Q1,stock_clearing_fee_exchange_trade,0.0,HKD,https://www.hkex.com.hk/-/media/HKEX-Market/Services/Rules-and-Forms-and-Fees/Rules/HKSCC/Operational-Procedures/SEC21.pdf
HKEX,2026-Q1,stock_settlement_fee_crossed_trade_per_side,0.0021,pct_of_gross_value,https://www.hkex.com.hk/-/media/HKEX-Market/Services/Rules-and-Forms-and-Fees/Rules/HKSCC/Operational-Procedures/SEC21.pdf
HKEX,2026-Q1,stock_settlement_fee_listed_rate_per_side,0.0042,pct_of_gross_value,https://www.hkex.com.hk/-/media/HKEX-Market/Services/Rules-and-Forms-and-Fees/Rules/HKSCC/Operational-Procedures/SEC21.pdf
HKEX,2026-Q1,stock_settlement_fee_max_per_trade,0,HKD_none,https://www.hkex.com.hk/-/media/HKEX-Market/Services/Rules-and-Forms-and-Fees/Rules/HKSCC/Operational-Procedures/SEC21.pdf
HKEX,2026-Q1,stock_settlement_fee_min_per_trade,0,HKD_none,https://www.hkex.com.hk/-/media/HKEX-Market/Services/Rules-and-Forms-and-Fees/Rules/HKSCC/Operational-Procedures/SEC21.pdf
HKEX,2026-Q1,trading_days,60,days,https://www.hkex.com.hk/-/media/HKEX-Market/News/News-Release/2026/260429news/260429news_e.pdf
HKEX,2026-Q1,trading_fee_effective_rate_both_sides,0.009688,pct_of_turnover,https://www.hkex.com.hk/-/media/HKEX-Market/News/News-Release/2026/260429news/260429news_e.pdf
HKEX,2026-Q1,trading_fee_effective_rate_per_side,0.004844,pct_of_consideration,https://www.hkex.com.hk/-/media/HKEX-Market/News/News-Release/2026/260429news/260429news_e.pdf
