month,funded_customers_mn,total_platform_assets_usdbn,net_deposits_usdbn,eqopt_trading_days,crypto_trading_days,vol_equity_usdbn,vol_options_mn,vol_crypto_usdbn,vol_crypto_app_usdbn,vol_crypto_bitstamp_usdbn,vol_event_bn,adv_equity_usdbn,adv_options_mn,adv_crypto_usdmn,adv_crypto_app_usdmn,adv_crypto_bitstamp_usdmn,adv_event_mn,dats_equity_mn,dats_options_mn,dats_crypto_mn,margin_book_usdbn,cash_and_deposits_usdbn,cash_sweep_usdbn,seclend_total_usdmn,seclend_net_usdmn
2023-11,23.3,94.4,1.4,20.5,30,52.9,95.3,4.0,4.0,0.0,0.0,2.6,4.6,133,133,0,0,1.4,0.6,0.2,3.4,9.5,15.2,11,3
2023-12,23.4,102.6,2.2,20.0,31,63.2,104.5,6.5,6.5,0.0,0.0,3.2,5.2,210,210,0,0,1.8,0.6,0.3,3.5,10.2,16.4,12,3
2024-01,23.5,102.4,3.8,21.0,31,59.3,106.2,5.9,5.9,0.0,0.0,2.8,5.1,190,190,0,0,1.7,0.7,0.3,3.6,9.6,16.8,12,3
2024-02,23.6,118.7,3.6,20.0,29,80.9,119.1,6.5,6.5,0.0,0.0,4.0,6.0,224,224,0,0,1.9,0.8,0.3,3.8,10.1,18.1,13,5
2024-03,23.9,129.6,3.8,20.0,31,84.7,118.2,23.6,23.6,0.0,0.0,4.2,5.9,761,761,0,0,2.2,0.8,0.7,4.1,10.4,19.0,17,7
2024-04,24.0,123.3,4.9,22.0,30,70.7,126.6,10.1,10.1,0.0,0.0,3.2,5.8,337,337,0,0,1.8,0.8,0.4,4.1,10.4,19.1,21,11
2024-05,24.1,135.0,3.6,22.0,31,86.8,131.9,7.1,7.1,0.0,0.0,3.9,6.0,229,229,0,0,2.0,0.8,0.3,4.5,10.3,20.3,23,13
2024-06,24.2,139.7,4.7,19.0,30,86.1,131.1,4.3,4.3,0.0,0.0,4.5,6.9,143,143,0,0,2.2,0.9,0.3,5.0,10.3,20.9,21,10
2024-07,24.2,144.5,4.2,21.5,31,104.4,160.5,5.3,5.3,0.0,0.0,4.9,7.5,171,171,0,0,2.1,0.9,0.3,5.4,9.4,21.8,21,9
2024-08,24.3,143.6,3.3,22.0,31,96.2,146.9,5.4,5.4,0.0,0.0,4.4,6.7,174,174,0,0,1.9,0.9,0.3,5.5,9.7,22.8,20,6
2024-09,24.3,152.2,2.5,20.0,30,85.5,136.1,3.7,3.7,0.0,0.0,4.3,6.8,123,123,0,0,2.0,0.9,0.2,5.5,11.2,24.5,18,4
