month,sec_trading_days,sec_turnover_mnshares,sec_turnover_sgdmn,sdav_sgdmn,listed_securities,mktcap_sgdmn,turnover_velocity_pct,deriv_vol_contracts,ddav_contracts,deriv_futures_vol_contracts,deriv_options_vol_contracts,deriv_swaps_vol_contracts,deriv_oi_contracts,vol_equity_index_futures_contracts,vol_a50_futures_contracts,vol_nikkei225_futures_contracts,vol_nifty50_futures_contracts,vol_msci_singapore_futures_contracts,vol_msci_taiwan_futures_contracts,vol_ftse_taiwan_futures_contracts,vol_fx_futures_contracts,vol_usdcnh_futures_contracts,vol_inrusd_futures_contracts,vol_rates_futures_contracts,vol_iron_ore_contracts,vol_commodities_contracts,vol_crypto_contracts,ipos_count,delistings_count,ipo_funds_sgdmn,new_bond_listings,bond_funds_sgdmn
2019-11,21,32801,26417,1258,728,934540,40,17753940,858105,16570093,1182084,1763,6519279,13089607,6517904,1636384,1522878,935356,1959802,,1875458,796395,1043208,23775,1411095,1666341,,0,3,0,118,46653
2019-12,21,23236,20165,960,723,937830,30,17361521,810966,16400791,960074,656,5783388,12667723,5630778,1897507,1519713,849401,1746899,,2074716,786711,1254447,56110,1390528,1628651,,0,5,0,79,32087
2020-01,21,38538,25608,1219,720,923134,39,19458274,1074908,18275883,1181405,986,5991430,14262046,7309541,1929963,1982851,1068170,1818256,,2340737,842705,1462486,20789,1276692,1565951,,1,4,3,87,50331
2020-02,20,35969,27531,1377,716,899575,47,23991399,1239096,22636593,1353105,1701,6480125,17831706,9623812,2653728,2049882,1096230,2000763,,2440396,962032,1417394,22828,2061582,2359651,,2,6,238,184,75078
2020-03,22,39763,48248,2193,716,765720,92,32963088,1526309,31056689,1903687,2712,6255826,25200446,11865616,4810001,3046144,1438118,3126496,,2972857,1255507,1608093,76440,2659807,3096667,,2,2,461,54,10353
2020-04,21,31599,29628,1411,715,802179,55,16629879,826285,15505911,1122033,1935,6170810,12260116,5973077,1792092,1941288,863699,1540696,,1714406,679239,980379,13680,1479615,1730718,,0,2,0,29,18270
2020-05,18,29509,27150,1508,715,803899,60,17090382,918437,16017987,1071125,1270,6350699,12054755,6111234,1446649,1999875,840412,1494470,,1998469,724127,1236770,12312,1927818,2164593,,0,0,0,41,16593
2020-06,22,43253,38021,1728,715,816779,68,19689053,935289,18476390,1210774,1889,5811064,14497913,6837099,2233740,2246474,960790,1591834,,2189704,851753,1276984,49105,1635056,1958518,,1,1,19,52,23757
2020-07,21,36230,25465,1213,716,813542,48,23806258,1054315,22927298,878038,922,6036107,19352530,12792794,1546721,2119228,948141,1816878,82048,1669400,701585,923861,19712,1848301,2121438,,1,0,5,72,35473
2020-08,20,39438,28146,1407,710,815460,56,19685390,945083,18703042,981108,1240,6064669,14905430,8526947,1452813,1931855,968918,1478962,352438,1785598,727906,1013150,33547,2086186,2331419,,0,6,0,53,21852
2020-09,22,31152,24307,1105,705,797297,45,20412225,938404,19711725,699178,1322,5594055,15438550,7754014,1725194,2274160,1007100,1564189,674901,2246890,803494,1373803,60821,1846038,2121048,,0,5,0,67,38689
2020-10,22,27995,23222,1056,702,788018,44,16276067,869208,15589565,685239,1263,5342534,12095751,5950619,1392580,2001754,947292,782166,939971,1923186,741756,1125215,23412,1148370,1531236,,1,4,510,68,35164
2020-11,21,50284,36241,1726,696,855673,63,18760247,925425,17970809,788135,1394,5304220,14154856,7130954,1750505,2178885,1074157,0,1918390,2105889,871870,1156459,19957,1243121,1529144,,0,6,0,47,13606
2020-12,22,38213,24385,1108,697,862104,40,18405716,819533,17797803,606499,1414,4344368,13201294,6702934,1355553,1877024,889246,0,2100608,2078646,872511,1101307,51818,2022161,2365674,,3,3,179,51,25145
2021-01,20,58170,29697,1485,695,885463,52,19768011,1001629,19026059,740698,1254,4609650,14813592,8753426,1133661,1898333,964063,,1990293,2134890,844967,1192808,20046,1623478,2058733,,0,1,0,74,39626
2021-02,19,46206,25782,1357,695,888736,47,17691490,1063476,16880744,807665,3081,4786450,12747210,7277109,1084753,1969218,989478,0,1357396,2287324,717806,1452665,22219,1424182,1801125,,0,1,1,63,31538
2021-03,23,53496,38750,1685,696,943822,51,23173850,1029662,22139620,1031563,2667,4882735,16696515,9502367,1709744,2456731,1146948,0,1679765,2898907,1136655,1645073,59388,2041381,2494893,,1,0,314,86,50032
2021-04,21,38520,26989,1285,690,910994,42,17505007,872700,16642686,860122,2199,5016730,12287913,6656948,1017902,2102127,1008301,0,1413711,2236145,766980,1353364,13294,1757318,2165293,,1,7,14,74,37460
2021-05,19,35468,30274,1593,688,899135,53,18062245,948111,17280166,777125,4954,5224022,13010150,6923961,1099192,2037095,1045254,0,1805071,2040872,869101,1049577,14797,1989077,2329379,,1,3,0,59,24105
2021-06,22,44915,26830,1220,685,901777,41,18946757,883397,18117933,823707,5117,5128354,13541285,7863401,1181283,1887457,1050194,0,1345803,2392525,958471,1307500,56607,1787838,2203132,,1,4,9,81,36428
2021-07,21,32344,25072,1194,682,903844,40,20377705,945602,19698906,675083,3716,5143982,15236473,9395585,1035764,2026680,1290063,0,1412410,2175133,844453,1274819,18853,1941740,2304465,,0,3,0,80,45017
2021-08,21,31415,26259,1250,676,890549,43,19525387,903173,18774124,747816,3447,5296535,14423044,8905304,898793,1961361,1117865,0,1430444,2001191,812929,1109363,15257,2166368,2571631,,0,6,0,42,20926
2021-09,22,37449,27032,1229,673,887902,41,21143483,1029203,20232903,905889,4691,5228857,15618734,9289513,1542513,2134454,1161935,0,1345479,2309262,921663,1293778,65210,2095838,2481357,,1,4,8,79,40123
2021-10,21,36697,24326,1158,671,914183,39,18141646,992950,17421106,717760,2780,4918284,13312621,7304817,1207027,2262193,1081774,0,1350954,2184763,790720,1281542,20229,1422884,1845940,,0,2,0,66,38924
2021-11,21,39065,28155,1341,673,888458,46,18199280,861407,17569890,627712,1678,5070457,13252193,7523440,987258,2200908,1093996,0,1373945,1963479,920559,968358,22286,1910580,2330608,,3,1,492,114,36354
2021-12,23,24577,19600,852,673,896901,29,19346166,850060,18721711,622100,2355,4467003,14173748,8168878,1394386,2043049,1067390,,1279380,1940322,862278,990948,57592,2179117,2553504,,1,1,825,111,28011
2022-01,21,25244,25389,1209,673,896065,40,19953664,1024599,19189111,762061,2492,4725161,15125268,8572717,1342663,2397332,1105152,,1573336,1908390,759742,1045888,25983,1804621,2172018,,4,4,531,121,44537
2022-02,18,26391,29566,1643,672,899124,55,18604043,1064952,17800153,802397,1493,4900265,13365611,7116598,1129446,2609791,1090262,,1309053,2105677,823524,1181672,28239,2001382,2454724,,1,2,6,101,33647
2022-03,23,38095,35740,1554,669,920697,49,26330738,1167783,24842183,1486684,1871,5106747,18441091,11140935,1542739,2652959,1200744,,1717688,2828973,1222054,1436008,80982,3559383,4083192,,1,4,5,104,31164
2022-04,20,33108,25426,1271,668,910676,40,20809941,1091462,20114421,694466,1054,5158107,15148009,9139214,916682,2406703,1063098,,1518868,2836579,1211738,1469109,36725,1816213,2149402,,3,4,12,133,49180
2022-05,19,31475,28593,1505,665,883565,50,22258783,1126568,21312889,944013,1881,5194547,15723606,8617551,1147875,2893450,1281546,,1623250,3315042,1540739,1615176,28916,2100677,2426156,,2,5,10,108,28545
2022-06,22,32332,25625,1165,661,865399,39,23548105,1098749,22646297,899186,2622,5074303,16942739,9425115,1749208,2700104,1258580,,1559227,2905672,1527096,1262656,131301,2553898,2899138,,0,4,0,120,33163
2022-07,20,20430,18020,901,662,883643,30,20509474,985973,19662014,845647,1813,5252563,13831199,7826742,1106213,2294052,1127196,,1381739,2521891,1135149,1256871,45060,3257097,3625307,,1,0,0,176,45936
2022-08,22,31580,24317,1105,659,884455,36,20398104,921170,19502420,892437,3247,5315736,13823984,7996925,1054028,2246177,1205388,,1212156,2616637,1176292,1300000,46422,2916234,3321869,,0,3,1,37,5884
2022-09,22,28797,25756,1171,656,843732,40,22279331,1045680,21537909,739444,1978,5293874,15106060,7766893,1508498,2882396,1315294,,1412002,3415223,1598874,1628172,108320,2605650,3044285,,0,3,0,100,26154
2022-10,20,28965,23090,1154,656,793995,41,21960371,1221168,21102601,855932,1838,5339898,15264637,8414341,1170690,2540981,1443887,,1578364,3250498,1554972,1493523,43984,2541809,2860234,,0,0,0,83,17354
2022-11,22,33914,27247,1239,654,833242,41,23660232,1090276,22961074,696700,2458,5297490,15471264,9321966,997612,2170796,1286828,,1522910,4002059,2005010,1754760,26820,3233296,3657917,,1,3,5,33,3868
2022-12,21,23843,19640,935,651,829945,31,19886525,919753,19293656,591593,1276,4535179,13647076,7653006,1260850,2139766,1083577,,1284488,2778418,1420664,1192723,85637,2517130,2865238,,1,4,4,20,5140
2023-01,19,20948,22020,1159,647,854389,38,19263400,1084781,18538053,721617,3730,5040492,13110586,7402020,959877,2370456,1129599,,1158719,2716060,1174096,1367253,49593,2474767,2856681,,1,5,0,38,25777
2023-02,20,29374,22098,1105,648,824346,38,19991854,1009364,19294110,694255,3489,4992067,13089847,7455913,824625,2284483,1170821,,1252128,2928963,1522590,1206029,23078,3068102,3511609,,1,0,20,149,34097
2023-03,23,45447,27978,1216,646,829754,42,23471772,1044895,22339523,1129471,2778,5148621,14916445,7689712,1513629,2668495,1338174,,1582651,3652345,2196031,1221312,95632,3696232,4224302,,0,2,0,36,16568
2023-04,19,27025,18609,979,645,824842,33,17708085,963603,16931176,771965,4944,5033410,11447960,6702359,715085,1748405,1087790,,1108507,2455838,1490593,802924,23683,2964717,3332150,,0,1,0,41,16639
2023-05,22,30836,22956,1043,643,802088,37,20491725,978974,19691360,798213,2152,5197157,13262715,7447709,1012578,2032603,1100808,,1521304,2945274,1779133,999433,21924,3230519,3765737,,1,3,3,104,27264
