month,report_date,filing_date,accession,days_in_period,payment_rate_pct,portfolio_yield_pct,excess_spread_pct_group1,n_series_at_that_es,ending_principal_receivables_usd,ending_total_receivables_usd,ending_total_principal_balance_usd,ending_transferor_amount_usd,beginning_accounts,ending_accounts,total_fc_collections_usd,fc_collections_excl_recoveries_usd,recoveries_usd,total_principal_collections_usd,new_principal_receivables_usd,defaulted_amount_usd,net_default_amount_usd,ann_default_rate_pct,ann_recovery_rate_pct,ann_default_rate_net_pct,dq3160_usd,dq3160_pct,dq6190_usd,dq6190_pct,dq91120_usd,dq91120_pct,dq120p_usd,dq120p_pct,dq30p_usd,dq30p_pct
2020-02,2020-02-29,2020-03-16,0001193125-20-074425,29.0,37.5632,23.948,18.3713,11,28981891461.07,30076264122.26,28981891461.07,9640477461.07,15788955.0,15778624.0,625056351.64,610427686.46,14628665.18,10798913235.15,10099974214.99,59188498.41,44559833.23,2.5704,0.64,1.9351,90331726.0,0.3,66519240.0,0.22,58613450.0,0.19,99918712.0,0.33,315383130.0,1.05
2020-03,2020-03-31,2020-04-15,0001193125-20-107869,31.0,33.9795,21.3902,17.3505,10,27003436017.1,28102888479.78,27003436017.1,8804882017.1,15778624.0,15763031.0,586547797.9,572409266.46,14138531.44,10176152074.68,8257729641.03,60033010.32,45894478.88,2.6176,0.62,2.0011,90583327.0,0.32,67066480.0,0.24,55478761.0,0.2,95768743.0,0.34,308897312.0,1.1
2020-04,2020-04-30,2020-05-15,0001193125-20-143692,30.0,32.088,21.6263,16.7588,9,24414254607.31,25492824904.09,24414254607.31,8158563607.31,15763031.0,15753386.0,534817061.94,522084883.98,12732177.96,8664850119.63,6130498192.76,54829482.92,42097304.96,2.7324,0.63,2.0979,81509681.0,0.32,66659996.0,0.26,56073923.0,0.22,93021673.0,0.36,297265274.0,1.17
2020-05,2020-05-31,2020-06-15,0001193125-20-168792,31.0,29.6594,20.2318,16.0486,9,24453568912.9,25519504668.26,24453568912.9,8197877912.9,15753386.0,15743774.0,475538239.23,463247747.24,12290491.99,7482498865.94,7577836927.62,56023756.09,43733264.1,2.6975,0.59,2.1057,85485038.0,0.33,57760709.0,0.23,55105832.0,0.22,89464542.0,0.35,287816121.0,1.13
2020-06,2020-06-30,2020-07-15,0001193125-20-193156,30.0,33.4658,22.3702,17.4925,9,24490211379.3,25536613103.22,24490211379.3,8234520379.3,15743774.0,15728551.0,500427629.7,486713491.03,13714138.67,8183587843.49,8271043605.21,50813295.32,37099156.65,2.5244,0.68,1.8431,78133311.0,0.31,60740101.0,0.24,46658828.0,0.18,89050032.0,0.35,274582272.0,1.08
2020-07,2020-07-31,2020-08-17,0001193125-20-222103,31.0,34.779,21.9083,17.7572,9,24365899256.36,25407782884.73,24365899256.36,8110208256.36,15728551.0,15719525.0,509508936.32,495684975.7,13823960.62,8801375614.04,8730881014.38,53817523.29,39993562.67,2.6006,0.67,1.9326,63533032.0,0.25,54820038.0,0.22,47964894.0,0.19,80133008.0,0.32,246450972.0,0.97
2020-08,2020-08-31,2020-09-15,0001193125-20-246000,31.0,35.1224,22.6149,18.4773,9,24336742545.06,25397842227.0,24336742545.06,8081051545.06,15719525.0,15710666.0,519123136.5,506708779.59,12414356.91,8843161710.91,8865128426.92,51123427.31,38709070.4,2.4734,0.6,1.8728,52423566.0,0.21,45978446.0,0.18,45913216.0,0.18,73724524.0,0.29,218039752.0,0.86
2020-09,2020-09-30,2020-10-15,0001193125-20-270024,30.0,36.9331,24.4856,19.5789,9,24165365015.65,25218696243.1,24165365015.65,7909674015.65,15710666.0,15696531.0,532647164.94,520362545.32,12284619.62,8988312168.23,8859801784.69,42867145.87,30582526.25,2.1583,0.62,1.5398,48940347.0,0.19,38818362.0,0.15,39043786.0,0.15,73673700.0,0.29,200476195.0,0.79
2020-10,2020-10-31,2020-11-16,0001193125-20-294335,31.0,37.0278,23.748,19.51,8,24151107986.8,25206522477.68,24151107986.8,9894224986.8,15696531.0,15688424.0,534272154.7,520824581.88,13447572.82,9246173089.45,9278783366.45,46867305.85,33419733.03,2.2849,0.66,1.6293,46865036.0,0.19,35977583.0,0.14,33206971.0,0.13,66260435.0,0.26,182310025.0,0.72
2020-11,2020-11-30,2020-12-15,0001193125-20-317799,30.0,37.7107,24.7249,19.6928,8,24240847824.33,25291873866.31,24240847824.33,9983964824.33,15688424.0,15680913.0,535844920.47,522266974.27,13577946.2,9107543153.71,9242332643.21,45049651.97,31471705.77,2.2611,0.68,1.5796,46805865.0,0.19,35510703.0,0.14,31608004.0,0.12,55480673.0,0.22,169405246.0,0.67
2020-12,2020-12-31,2021-01-15,0001193125-21-009846,31.0,40.7607,24.4067,20.1814,8,24861413281.5,25908482006.15,24861413281.5,10605722281.5,15680913.0,15667563.0,542622492.38,528384847.22,14237645.16,10210097585.18,10870797078.69,40134036.34,25896391.18,1.9007,0.67,1.2264,47644524.0,0.18,35413582.0,0.14,30435233.0,0.12,49420085.0,0.19,162913424.0,0.63
2021-01,2021-01-31,2021-02-16,0001193125-21-044134,31.0,39.4144,25.632,21.4301,8,23347485175.72,24389139644.16,23347485175.72,9091794175.72,15667563.0,15660662.0,576907906.25,562283750.5,14624155.75,10125601982.81,8647357622.8,35683745.77,21059590.02,1.7995,0.74,1.062,43099950.0,0.18,34249400.0,0.14,30494543.0,0.13,47039338.0,0.19,154883232.0,0.64
2021-02,2021-02-28,2021-03-15,0001193125-21-080934,28.0,40.7063,27.0165,20.1766,8,22625932428.81,23650853169.63,22625932428.81,8370241428.81,15660662.0,15653886.0,518967637.08,505046420.53,13921216.55,8870297902.47,8183835900.87,35090745.31,21169528.76,2.0217,0.8,1.2197,42066713.0,0.18,30926780.0,0.13,29239079.0,0.12,46284792.0,0.2,148517363.0,0.63
2021-03,2021-03-31,2021-04-15,0001193125-21-117416,31.0,41.2421,25.3307,21.123,8,23080873522.56,24088242709.9,23080873522.56,8825182522.56,15653886.0,15640494.0,522358223.47,503758724.9,18599498.57,9642466290.12,10132997764.47,35590380.6,16990882.03,1.8156,0.95,0.8668,38046547.0,0.16,28196719.0,0.12,24651369.0,0.1,44205995.0,0.18,135100629.0,0.56
2021-04,2021-04-30,2021-05-17,0001193125-21-163211,30.0,44.2165,27.5553,22.4844,8,23045531102.62,24037773174.03,23045531102.62,8789840102.62,15640494.0,15633903.0,555100572.67,538724050.32,16376522.35,10205560606.61,10202578148.79,32359962.12,15983439.77,1.7084,0.86,0.8438,29657816.0,0.12,27283194.0,0.11,22819498.0,0.09,40103432.0,0.17,119863940.0,0.5
2021-05,2021-05-31,2021-06-15,0001193125-21-190864,31.0,43.371,26.1441,21.9779,7,24057384942.59,25049797433.53,24057384942.59,10830266942.59,15633903.0,15627669.0,543353291.11,528270142.41,15083148.7,10328256580.48,11371747583.51,31637163.06,16554014.36,1.5484,0.74,0.8102,31101813.0,0.12,21068177.0,0.08,23234652.0,0.09,35296412.0,0.14,110701054.0,0.44
2021-06,2021-06-30,2021-07-15,0001193125-21-216141,30.0,46.4026,27.7028,22.6557,7,24165680503.85,25149292082.01,24165680503.85,10938562503.85,15627669.0,15594389.0,575746025.05,559234285.34,16511739.71,11163248971.15,11299517690.82,27973158.41,11461418.7,1.4084,0.83,0.577,31267644.0,0.12,22007366.0,0.09,18750161.0,0.07,33492654.0,0.13,105517825.0,0.42
2021-07,2021-07-31,2021-08-16,0001193125-21-247370,31.0,45.2579,26.8384,22.7435,6,24181715993.58,25166200385.24,24181715993.58,12297456993.58,15594389.0,15588645.0,578385562.47,563007248.71,15378313.76,11301433464.02,11345015821.06,27546867.31,12168553.55,1.3413,0.75,0.5925,35662336.0,0.14,22133418.0,0.09,18629302.0,0.07,30299036.0,0.12,106724092.0,0.42
2021-08,2021-08-31,2021-09-15,0001193125-21-273703,31.0,45.1324,27.0449,22.954,6,23910664775.35,24892436508.54,23910664775.35,12026405775.35,15588645.0,15583400.0,579692152.48,564384643.7,15307508.78,11277576873.27,11030773387.34,24247732.3,8940223.52,1.194,0.75,0.4402,35734886.0,0.14,25591654.0,0.1,18175732.0,0.07,28336239.0,0.11,107838511.0,0.43
